repository_language,day,count
SuperCollider,15426.0,42
Pure Data,15426.0,18
Puppet,15426.0,282
Tcl,15426.0,51
FORTRAN,15426.0,66
Smalltalk,15426.0,15
VHDL,15426.0,132
Coq,15426.0,18
Arc,15426.0,6
Elixir,15426.0,36
Objective-J,15426.0,54
Factor,15426.0,9
ASP,15426.0,18
Scilab,15426.0,27
Parrot,15426.0,6
Logtalk,15426.0,6
Delphi,15426.0,117
Visual Basic,15426.0,21
Prolog,15426.0,90
Groovy,15426.0,435
OCaml,15426.0,345
OpenEdge ABL,15426.0,24
Matlab,15426.0,354
Go,15426.0,456
Standard ML,15427.0,60
Pure Data,15427.0,6
Tcl,15427.0,30
Arc,15427.0,6
Fancy,15427.0,3
