repository_language,day,count
Emacs Lisp,15423.0,1230
Delphi,15423.0,216
Matlab,15423.0,315
OCaml,15423.0,111
Scala,15423.0,1650
Fantom,15423.0,18
Vala,15423.0,60
Gosu,15423.0,3
Rebol,15423.0,6
Java,15423.0,20199
Ruby,15423.0,26841
PHP,15423.0,18762
Lua,15423.0,828
Arc,15423.0,9
Objective-J,15423.0,42
Io,15423.0,33
Fancy,15423.0,6
Nemerle,15423.0,9
Python,15423.0,19140
Visual Basic,15423.0,69
Objective-C,15423.0,5031
JavaScript,15423.0,36405
Pure Data,15423.0,21
Arduino,15423.0,81
Coq,15423.0,30
Go,15423.0,612
Scheme,15423.0,126
Factor,15423.0,6
Tcl,15423.0,33
Prolog,15423.0,39
Smalltalk,15423.0,12
Ada,15423.0,36
Standard ML,15423.0,60
HaXe,15423.0,66
Scilab,15423.0,45
Turing,15423.0,9
ASP,15423.0,33
Eiffel,15423.0,18
Parrot,15424.0,3
XQuery,15424.0,36
Tcl,15424.0,141
Eiffel,15424.0,12
Powershell,15424.0,24
Factor,15424.0,9
FORTRAN,15424.0,21
HaXe,15424.0,144
Prolog,15424.0,90
Boo,15424.0,3
OpenEdge ABL,15424.0,15
Vala,15424.0,9
Go,15424.0,603
Common Lisp,15424.0,294
Erlang,15424.0,744
D,15424.0,426
Racket,15424.0,87
Delphi,15424.0,183
Haskell,15424.0,1728
Arduino,15424.0,159
Matlab,15424.0,315
Visual Basic,15424.0,111
Puppet,15424.0,276
C++,15424.0,12804
PHP,15424.0,18426
ColdFusion,15424.0,51
Lua,15424.0,801
Arc,15424.0,6
Standard ML,15424.0,84
Ada,15424.0,87
Emacs Lisp,15424.0,1113
Groovy,15424.0,504
Rust,15424.0,123
ActionScript,15424.0,894
Clojure,15424.0,1272
C#,15424.0,4269
Shell,15424.0,5769
Java,15424.0,22623
VimL,15424.0,2541
CoffeeScript,15424.0,1365
Scala,15424.0,1626
Pure Data,15424.0,6
Ruby,15424.0,27231
Assembly,15424.0,162
C,15424.0,13374
JavaScript,15424.0,40083
Perl,15424.0,2256
Python,15424.0,19935
Objective-C,15424.0,5193
SuperCollider,15424.0,12
Verilog,15424.0,117
AutoHotkey,15424.0,21
Elixir,15424.0,87
Nemerle,15424.0,12
Smalltalk,15424.0,12
Ioke,15424.0,6
F#,15424.0,84
Coq,15424.0,24
Turing,15424.0,6
Scilab,15424.0,39
ASP,15424.0,45
Io,15424.0,9
OCaml,15424.0,126
VHDL,15424.0,150
Objective-J,15424.0,75
Scheme,15424.0,210
R,15424.0,324
Groovy,15425.0,738
Puppet,15425.0,534
Erlang,15425.0,1065
ActionScript,15425.0,921
Shell,15425.0,6564
VimL,15425.0,3999
Lua,15425.0,1077
Emacs Lisp,15425.0,1545
Common Lisp,15425.0,255
Delphi,15425.0,300
Go,15425.0,774
SuperCollider,15425.0,33
Scala,15425.0,3048
Scheme,15425.0,138
Haskell,15425.0,1497
C,15425.0,17346
Perl,15425.0,3600
Objective-C,15425.0,8364
Prolog,15425.0,120
C#,15425.0,6291
C++,15425.0,17427
JavaScript,15425.0,59787
Clojure,15425.0,1542
PHP,15425.0,28380
Python,15425.0,30837
Java,15425.0,34818
Ruby,15425.0,39108
Io,15425.0,3
Objective-J,15425.0,102
XQuery,15425.0,39
CoffeeScript,15425.0,1428
Vala,15425.0,114
Turing,15425.0,9
HaXe,15425.0,84
Elixir,15425.0,114
OpenEdge ABL,15425.0,51
Powershell,15425.0,60
AutoHotkey,15425.0,33
Mirah,15425.0,3
Gosu,15425.0,9
Nimrod,15425.0,15
Opa,15425.0,3
Tcl,15425.0,18
Eiffel,15425.0,9
Factor,15425.0,3
Arc,15425.0,27
Coq,15425.0,18
